species,TreeID,census,e,Cluster,S_t,n,N_t,E_t,dn,de,dN/S,dE/S
1659,139907,7,8.41,4,61,3,183,11404.578802777778,0,0.5899999999999999,-0.2459016393442623,32.3399148907104
1659,139932,1,1.0,4,55,3,227,16311.395625,0,0.0,0.21818181818181817,18.470190656565716
1659,139932,2,1.0,4,54,3,239,17327.256111111114,0,0.0,-0.5370370370370371,-22.93919238683133
1659,139932,3,1.2100000000000002,4,52,3,210,16088.539722222222,1,-0.2100000000000002,-0.25,-3.3830288461538376
1659,139932,4,1.2100000000000002,4,49,4,197,15912.622222222222,0,-0.2100000000000002,-0.42857142857142855,21.180385487528355
1659,139932,5,1.6900000000000002,4,44,4,176,16950.46111111111,0,0.30999999999999983,-0.11363636363636363,21.251736111111065
1659,139932,6,2.25,4,47,4,171,17885.5375,-1,1.75,0.2553191489361702,-137.89273823877065
1659,139932,7,4.0,4,61,3,183,11404.578802777778,0,0.0,-0.2459016393442623,32.3399148907104
1659,140113,1,1.0,4,55,3,227,16311.395625,0,0.0,0.21818181818181817,18.470190656565716
1659,140113,2,1.0,4,54,3,239,17327.256111111114,0,0.0,-0.5370370370370371,-22.93919238683133
1659,140113,3,1.44,4,52,3,210,16088.539722222222,1,-0.43999999999999995,-0.25,-3.3830288461538376
1659,140113,4,1.6900000000000002,4,49,4,197,15912.622222222222,0,-0.6900000000000002,-0.42857142857142855,21.180385487528355
1659,140113,5,1.9599999999999997,4,44,4,176,16950.46111111111,0,-0.9599999999999997,-0.11363636363636363,21.251736111111065
1659,140113,6,1.9599999999999997,4,47,4,171,17885.5375,-4,-1.9599999999999997,0.2553191489361702,-137.89273823877065
1659,314416,4,1.2100000000000002,4,49,4,197,15912.622222222222,0,-0.2100000000000002,-0.42857142857142855,21.180385487528355
1659,314416,5,1.9599999999999997,4,44,4,176,16950.46111111111,0,2.04,-0.11363636363636363,21.251736111111065
1659,314416,6,4.0,4,47,4,171,17885.5375,-4,-4.0,0.2553191489361702,-137.89273823877065
1659,466282,7,2.25,4,61,3,183,11404.578802777778,0,-0.25,-0.2459016393442623,32.3399148907104
263,466278,7,10.889999999999999,3,61,2,183,11404.578802777778,-1,1.1100000000000012,-0.2459016393442623,32.3399148907104
263,466286,7,2.25,3,61,2,183,11404.578802777778,-2,-2.25,-0.2459016393442623,32.3399148907104
269,250181,2,1.0,4,54,1,239,17327.256111111114,0,0.0,-0.5370370370370371,-22.93919238683133
22,466281,7,6.760000000000001,2,61,1,183,11404.578802777778,0,3.2399999999999993,-0.2459016393442623,32.3399148907104
1129,139938,1,1.0,1,55,3,227,16311.395625,0,0.0,0.21818181818181817,18.470190656565716
1129,139938,2,1.0,1,54,3,239,17327.256111111114,0,1.0,-0.5370370370370371,-22.93919238683133
1129,139938,3,2.8899999999999997,1,52,3,210,16088.539722222222,-1,0.11000000000000032,-0.25,-3.3830288461538376
